transcription,count,intent,,
"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",1,EMOTION_SHAME,,
"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong.",1,EMOTION_GUILT,,
When I found out that I had passed the last two exams by a margin of three marks.,1,EMOTION_JOY,,
When my father was ill and was waiting for the results of his tests.,1,EMOTION_FEAR,,
When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,1,EMOTION_ANGER,,
When I failed an exam.,1,EMOTION_SADNESS,,
"At a Sm…rgasbord table, a man mixed differnet kinds of picked herrings with fruit salad.",1,EMOTION_DISGUST,,
"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor.",1,EMOTION_SHAME,,
"When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later.",1,EMOTION_GUILT,,
When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.,1,EMOTION_JOY,,
When I found out that my father had lung cancer and they did not know how long he would live.,1,EMOTION_FEAR,,
"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.",1,EMOTION_ANGER,,
When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated.,1,EMOTION_SADNESS,,
When I was weeding the garden I found a lizard in my hand.,1,EMOTION_DISGUST,,
"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier.",1,EMOTION_SHAME,,
I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.,1,EMOTION_GUILT,,
"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time.",1,EMOTION_JOY,,
"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.",1,EMOTION_FEAR,,
The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.,1,EMOTION_ANGER,,
"A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed.",1,EMOTION_SADNESS,,
"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident.",1,EMOTION_DISGUST,,
One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.,1,EMOTION_SHAME,,
"Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations.",1,EMOTION_GUILT,,
When I got the loan for my studies.,1,EMOTION_JOY,,
I met intoxicated people with dubious intentions in a back alley one Wednesday night.,1,EMOTION_FEAR,,
On the T.V I saw a news feature on South Africa.  A policeman      attacked a group of black people with a whip.,1,EMOTION_ANGER,,
The thought of having to read a boring book of 400 pages in English.,1,EMOTION_SADNESS,,
Grovelling people.,1,EMOTION_DISGUST,,
My inability to assert myself positively in a group.,1,EMOTION_SHAME,,
I experience feelings of guilt because I do not study enough.,1,EMOTION_GUILT,,
"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",1,EMOTION_DISGUST,,
I guess I have often been ashamed after having talked badly of other people.,1,EMOTION_SHAME,,
Having been angry and unpleasant towards my parents.,1,EMOTION_GUILT,,
When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.,1,EMOTION_JOY,,
"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.",1,EMOTION_FEAR,,
"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",1,EMOTION_ANGER,,
"When my boyfriend openly let me down, preferring another girl.",1,EMOTION_SADNESS,,
"I felt some disgust for my boyfriend for a time, after he had left me.",1,EMOTION_DISGUST,,
Can't think of any.,1,EMOTION_SHAME,,
"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed.",1,EMOTION_GUILT,,
"Unexpected visit by a close friend, whom I hadn't seen for half a year.",1,EMOTION_JOY,,
"I wandered by mistake into the safety zone of a shooting range, and was shot at.",1,EMOTION_FEAR,,
Being treated unfairly.,1,EMOTION_ANGER,,
Breaking up with a girl.,1,EMOTION_SADNESS,,
Nothing.,1,EMOTION_DISGUST,,
None.,1,EMOTION_SHAME,,
Little contact with my father before he died.,1,EMOTION_GUILT,,
"When I was accepted as a student at the college, not having thought it possible.",1,EMOTION_JOY,,
"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed.",1,EMOTION_FEAR,,
"I was accused of having done something, which I hadn't and got very angry.",1,EMOTION_ANGER,,
When my grandmother died.,1,EMOTION_SADNESS,,
Not applicable.,1,EMOTION_DISGUST,,
"A couple of years ago during the summer holiday, I was fishing at a lake with my husband.  Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment.  the whole nature was full of music.",1,EMOTION_JOY,,
"I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences.  My leg was itching and I stretched my hand to scratch and I felt another strange hand. (later I realized that it was the corner of the blanket)",1,EMOTION_FEAR,,
"I went to a lecture and once again it had been cancelled, this was the second time.  One had a negative attitude towards the lecturer.à",1,EMOTION_ANGER,,
"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad.",1,EMOTION_SADNESS,,
"In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice.  When she got up to go a disgusting smell of urine came from her.  I felt that I would choke.",1,EMOTION_DISGUST,,
"When we were at home, my husband and I, he made a remark about something I had done, in a perfectly friendly manner.  My deed had been unjust and I knew that my husband was right, therefore my sense of shame.",1,EMOTION_SHAME,,
"I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine.  Later, the same evening, my sister looked sad.  I felt guilty about her sadness.",1,EMOTION_GUILT,,
"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",1,EMOTION_JOY,,
"I went to practice in Sweden during summer, and I was afraid that I would not do well.",1,EMOTION_FEAR,,
"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest.",1,EMOTION_ANGER,,
My grandmother died suddenly last summer.,1,EMOTION_SADNESS,,
"My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him.",1,EMOTION_DISGUST,,
Once I arrived two hours late to my work place (a bank) and I was still feeling feeble and tired.,1,EMOTION_SHAME,,
Our association had Polish visitors and when they were going back by boat I did not go to see them off (I am the chairman of the association).,1,EMOTION_GUILT,,
"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?",1,EMOTION_JOY,,
"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader.",1,EMOTION_FEAR,,
"We were in a disco and the evening was not at all pleasant.  Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings.",1,EMOTION_ANGER,,
"My grandmother died, and my mother called me one sunday morning in the Autumn.  The way my mother told me about it, I hated her at that moment.  She sounded as if she had been waiting for the death of my grandmother.  I had lost a person close to me.  I felt guilty too as I had been bad to my grandmother of late.  I had not remained calm when she no longer understood everything so well.",1,EMOTION_SADNESS,,
"At the underground station, a drunkard came to speak to me.  He tried to ask me something but I did not answer so he began to speak about me with his companion.  I detested this dirty growling man.",1,EMOTION_DISGUST,,
"I was worried by a task related to my studies which had to be done in groups of two.  I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner.  I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine.",1,EMOTION_SHAME,,
I had told my boyfriend that I did not want to go on with our relationship.  I knew that I was important to him but I wanted to be free.  I saw that this was difficult for him but I remained firm and did not change my mind.,1,EMOTION_GUILT,,
"Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter.",1,EMOTION_JOY,,
"[ I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.]",1,EMOTION_ANGER,,
"After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated.",1,EMOTION_SADNESS,,
"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program.",1,EMOTION_DISGUST,,
My little brother was arrested by the police at the railway station after he had drunk some beer.,1,EMOTION_SHAME,,
"At my temporary job, I have to restrict  others' actions and make them obey me, and this very often gives me  a feeling of guilt.  I wish there could be some other way of acting.",1,EMOTION_GUILT,,
"I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...",1,EMOTION_JOY,,
"I felt fear of the purest kind after a car accident.  The incident and images of horror kept coming back to my mind.  I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened.",1,EMOTION_FEAR,,
"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know.  They had despised her conviction, scorned and touched her.  I got very angry and did not try to conceal it and gave it back to them.",1,EMOTION_ANGER,,
"My sweetheart left me, or rather we decided to break it off by mutual consent.  The consequences were - unrestrained weeping, feelings of loneliness, hopelessness and disconsolation.  I felt that I should find a friend, to talk to joyfully and to forget.",1,EMOTION_SADNESS,,
"Out of sheer curiosity, I went to see a pornographic movie in Copenhagen.  The room was full of men, who panted and masturbated.  Very disgusting.",1,EMOTION_DISGUST,,
"After having quarelled unnecessarily and without any reason, and having been stupidly cross in every way.",1,EMOTION_SHAME,,
[ Do not know.],1,EMOTION_SHAME,,
Forced to fill in a questionnaire.,1,EMOTION_GUILT,,
When I won a tennis match.,1,EMOTION_JOY,,
When my dog ran out on thin ice last spring.,1,EMOTION_FEAR,,
When my tennis match was interrupted because a kid cycled right into the court.,1,EMOTION_ANGER,,
[ No response.],1,EMOTION_SADNESS,,
[ No response.],1,EMOTION_DISGUST,,
[ No response.],1,EMOTION_SHAME,,
[ No response.],1,EMOTION_GUILT,,
Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).,1,EMOTION_JOY,,
Risk of being involved in a fight after a party.,1,EMOTION_FEAR,,
"I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by ""terror ringing"", i.e continously interrupting me by telephoning.",1,EMOTION_ANGER,,
After an exam which I failed.,1,EMOTION_SADNESS,,
[ Normally I do not feel disgusted.],1,EMOTION_DISGUST,,
"When I overtook a car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and I had an acquaintance in the car with me.",1,EMOTION_SHAME,,
"I saw a neighbour, from the same appartment block as me, lying    on the road.  He could have been injured or ill.  I kept 20 metres away and did not go to help him.",1,EMOTION_GUILT,,
When I met an old schhol friend (school love) who works in Sk+vde.,1,EMOTION_JOY,,
"When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space.",1,EMOTION_FEAR,,
"When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal.",1,EMOTION_ANGER,,
"When I realized that my girlfriend, whom I like, and I were going to separate.",1,EMOTION_SADNESS,,
Dog dirt which thaws in the spring.,1,EMOTION_DISGUST,,
When I forgot my mother's birthday.,1,EMOTION_SHAME,,
[ Can not think of anything just now.],1,EMOTION_GUILT,,
Passed the last exam.,1,EMOTION_JOY,,
Was nearly knocked down by a car.,1,EMOTION_FEAR,,
I reached the bus stop and realized that I had forgotten my bus pass.,1,EMOTION_ANGER,,
My current work load is too much.  The feeling comes back from time to time.,1,EMOTION_SADNESS,,
[ Can not think of any situation.],1,EMOTION_DISGUST,,
[ No response.],1,EMOTION_SHAME,,
[ No response.],1,EMOTION_GUILT,,
When my one year old son gives me a spontaneous kiss.,1,EMOTION_JOY,,
When someone close to me is travelling by car and is delayed.,1,EMOTION_FEAR,,
When someone does something wrong which affects me negatively.,1,EMOTION_ANGER,,
When I think about my parents getting old.,1,EMOTION_SADNESS,,
[ Can not remember.],1,EMOTION_DISGUST,,
[ No response.],1,EMOTION_SHAME,,
"I do not have the time for other people's problems.  My mother-in-law is sometimes depressed and I do not have the time, the desire or the strength to help.",1,EMOTION_GUILT,,
"An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed ""clever people"" and he had ""immediately thought of me.""",1,EMOTION_JOY,,
I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.,1,EMOTION_FEAR,,
I saw a report on T.V news on apartheid in South Africa.,1,EMOTION_ANGER,,
[ No response.],1,EMOTION_SADNESS,,
[ No response.],1,EMOTION_DISGUST,,
[ No response.],1,EMOTION_SHAME,,
[ No response.],1,EMOTION_GUILT,,
When my girlfriend became pregnant.,1,EMOTION_JOY,,
When I nearly collided with another car.,1,EMOTION_FEAR,,
The time when someone let the air out of the tyres of my cycle.,1,EMOTION_ANGER,,
When I read a lot and did not remember anything.,1,EMOTION_SADNESS,,
[ No response.],1,EMOTION_DISGUST,,
[ No response.],1,EMOTION_SHAME,,
The time that I had to put my dog to sleep.,1,EMOTION_GUILT,,
[ No response.],1,EMOTION_JOY,,
[ No response.],1,EMOTION_FEAR,,
[ No response.],1,EMOTION_ANGER,,
Long illness.,1,EMOTION_SADNESS,,
When I passed an exam.,1,EMOTION_JOY,,
"When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out.",1,EMOTION_FEAR,,
When I missed the tram after having run for it.,1,EMOTION_ANGER,,
The inability to read a book at college.,1,EMOTION_SADNESS,,
If a guy one is not interested in makes advances.,1,EMOTION_DISGUST,,
I drink wine too often.,1,EMOTION_SHAME,,
I do not study enough as I do not understand it properly.,1,EMOTION_GUILT,,
I worked at a lawyer's office during Summer and I got a very good reference from him.,1,EMOTION_JOY,,
I had been watching a triller a dark night in the country and I had to go the outside toilet on my own.,1,EMOTION_FEAR,,
"When I am accused of something I have not done, I get unbelievably angry.",1,EMOTION_ANGER,,
"When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up.",1,EMOTION_SADNESS,,
Someone vomited on the street.,1,EMOTION_DISGUST,,
"I can not think of any incident when I have felt very ashamed.  There are small incidents that I am ashamed of, for instance, not sending money to the children in Ethiopia.",1,EMOTION_SHAME,,
I had lunch with my ex-boyfriend and did not mention it to my fiancee.  I felt guilty despite the fact that I felt nothing for my ex-boyfriend.,1,EMOTION_GUILT,,
When I was finally qualified for my profession.,1,EMOTION_JOY,,
Someone attacked me with a knife.,1,EMOTION_FEAR,,
Someone drove into my car and then denied that it had happened.,1,EMOTION_ANGER,,
When I was told that my friend's wife had cancer.,1,EMOTION_SADNESS,,
When I saw a dog which had been knocked down by a car.,1,EMOTION_DISGUST,,
When I boxed my child's ears.,1,EMOTION_SHAME,,
When I was fined for speeding.,1,EMOTION_GUILT,,
I stopped working (had a boring job).,1,EMOTION_JOY,,
"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house.",1,EMOTION_FEAR,,
Quarrel in the family.,1,EMOTION_ANGER,,
When I am alone in a room with no contact with anyone - loneliness drains me.,1,EMOTION_SADNESS,,
When I was on holiday someone vomited in front of me.,1,EMOTION_DISGUST,,
Emptied a bucket of water in a hospital.,1,EMOTION_SHAME,,
When I feigned sick leave from work.,1,EMOTION_GUILT,,
When I get a hug from someone I love.,1,EMOTION_JOY,,
I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.,1,EMOTION_FEAR,,
My car had been towed away by the traffic police because it had been wrongly parked.  However the sign had been put up only after I had already parked.,1,EMOTION_ANGER,,
After an operation I had to stay in bed for a long time.,1,EMOTION_SADNESS,,
I was forced to stay in the canteen and eat the food that I had not asked for but got it anyway.,1,EMOTION_DISGUST,,
When I did not buy what I had promised to.,1,EMOTION_SHAME,,
By mistake I took a book from the library which was not supposed to be loaned out.,1,EMOTION_GUILT,,
When I won an unexpected sum of money.,1,EMOTION_JOY,,
My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.,1,EMOTION_FEAR,,
A colleague asked me for some advice and as he did not have enough confidence in me he asked a third person.,1,EMOTION_ANGER,,
"I wanted to be pregnant and did not succeed, so I was depressed    at every menstruation.",1,EMOTION_SADNESS,,
"In a warm bus full of people, someone vomited and the whole bus stank.",1,EMOTION_DISGUST,,
